Sample	Mouse_Model	Condition	Sex	Genotype	Drug	Batch	Group
P131_WvM_3	Pten	WvM	Male	Wildtype	Vehicle	B5	Group1
P131_WvM_4	Pten	WvM	Male	Wildtype	Vehicle	B5	Group1
P131_WvM_5	Pten	WvM	Male	Wildtype	Vehicle	B5	Group1
Scn_HfF_1	Scn2a	HfF	Female	Mutant	Fluoxetine	B3	Group2
Scn_HfF_2	Scn2a	HfF	Female	Mutant	Fluoxetine	B3	Group2
Scn_HfF_3	Scn2a	HfF	Female	Mutant	Fluoxetine	B3	Group2
Scn_HfF_4	Scn2a	HfF	Female	Mutant	Fluoxetine	B3	Group2
Scn_HfM_1	Scn2a	HfM	Male	Mutant	Fluoxetine	B3	Group2
Scn_HfM_2	Scn2a	HfM	Male	Mutant	Fluoxetine	B3	Group2
Scn_HfM_3	Scn2a	HfM	Male	Mutant	Fluoxetine	B3	Group2
Scn_HfM_4	Scn2a	HfM	Male	Mutant	Fluoxetine	B3	Group2
Scn_HfM_5	Scn2a	HfM	Male	Mutant	Fluoxetine	B3	Group2
Scn_HLF_1	Scn2a	HLF	Female	Mutant	Lithium	B3	Group2
Scn_HLF_2	Scn2a	HLF	Female	Mutant	Lithium	B3	Group2
Scn_HLF_3	Scn2a	HLF	Female	Mutant	Lithium	B3	Group2
Scn_HLF_4	Scn2a	HLF	Female	Mutant	Lithium	B3	Group2
Scn_HLF_5	Scn2a	HLF	Female	Mutant	Lithium	B3	Group2
Scn_HLM_1	Scn2a	HLM	Male	Mutant	Lithium	B3	Group2
Scn_HLM_2	Scn2a	HLM	Male	Mutant	Lithium	B3	Group2
Scn_HLM_3	Scn2a	HLM	Male	Mutant	Lithium	B3	Group2
Scn_HLM_4	Scn2a	HLM	Male	Mutant	Lithium	B3	Group2
Scn_HLM_5	Scn2a	HLM	Male	Mutant	Lithium	B3	Group2
Scn_HvF_1	Scn2a	HvF	Female	Mutant	Vehicle	B3	Group2
Scn_HvF_2	Scn2a	HvF	Female	Mutant	Vehicle	B3	Group2
Scn_HvF_3	Scn2a	HvF	Female	Mutant	Vehicle	B3	Group2
Scn_HvF_4	Scn2a	HvF	Female	Mutant	Vehicle	B3	Group2
Scn_HvF_5	Scn2a	HvF	Female	Mutant	Vehicle	B3	Group2
Scn_HvM_1	Scn2a	HvM	Male	Mutant	Vehicle	B3	Group2
Scn_HvM_2	Scn2a	HvM	Male	Mutant	Vehicle	B3	Group2
Scn_HvM_3	Scn2a	HvM	Male	Mutant	Vehicle	B3	Group2
Scn_HvM_4	Scn2a	HvM	Male	Mutant	Vehicle	B3	Group2
Scn_HvM_5	Scn2a	HvM	Male	Mutant	Vehicle	B3	Group2
Scn_WfF_1	Scn2a	WfF	Female	Wildtype	Fluoxetine	B3	Group2
Scn_WfF_2	Scn2a	WfF	Female	Wildtype	Fluoxetine	B3	Group2
Scn_WfF_3	Scn2a	WfF	Female	Wildtype	Fluoxetine	B3	Group2
Scn_WfF_5	Scn2a	WfF	Female	Wildtype	Fluoxetine	B3	Group2
Scn_WfM_1	Scn2a	WfM	Male	Wildtype	Fluoxetine	B3	Group2
Scn_WfM_2	Scn2a	WfM	Male	Wildtype	Fluoxetine	B3	Group2
Scn_WfM_3	Scn2a	WfM	Male	Wildtype	Fluoxetine	B3	Group2
Scn_WfM_4	Scn2a	WfM	Male	Wildtype	Fluoxetine	B3	Group2
Scn_WfM_5	Scn2a	WfM	Male	Wildtype	Fluoxetine	B3	Group2
Scn_WLF_1	Scn2a	WLF	Female	Wildtype	Lithium	B3	Group2
Scn_WLF_3	Scn2a	WLF	Female	Wildtype	Lithium	B3	Group2
Scn_WLF_4	Scn2a	WLF	Female	Wildtype	Lithium	B3	Group2
Scn_WLF_5	Scn2a	WLF	Female	Wildtype	Lithium	B3	Group2
Scn_WLM_1	Scn2a	WLM	Male	Wildtype	Lithium	B3	Group2
Scn_WLM_2	Scn2a	WLM	Male	Wildtype	Lithium	B3	Group2
Scn_WLM_3	Scn2a	WLM	Male	Wildtype	Lithium	B3	Group2
Scn_WLM_4	Scn2a	WLM	Male	Wildtype	Lithium	B3	Group2
Scn_WLM_5	Scn2a	WLM	Male	Wildtype	Lithium	B3	Group2
Scn_WvF_1	Scn2a	WvF	Female	Wildtype	Vehicle	B3	Group2
Scn_WvF_2	Scn2a	WvF	Female	Wildtype	Vehicle	B3	Group2
Scn_WvF_3	Scn2a	WvF	Female	Wildtype	Vehicle	B3	Group2
Scn_WvF_4	Scn2a	WvF	Female	Wildtype	Vehicle	B3	Group2
Scn_WvF_5	Scn2a	WvF	Female	Wildtype	Vehicle	B3	Group2
Scn_WvM_1	Scn2a	WvM	Male	Wildtype	Vehicle	B3	Group2
Scn_WvM_2	Scn2a	WvM	Male	Wildtype	Vehicle	B3	Group2
Scn_WvM_3	Scn2a	WvM	Male	Wildtype	Vehicle	B3	Group2
Scn_WvM_4	Scn2a	WvM	Male	Wildtype	Vehicle	B3	Group2
SdC_HfF_1	Shank3-D	HfF	Female	Mutant	Fluoxetine	B4-1	Group1
SdC_HfF_2	Shank3-D	HfF	Female	Mutant	Fluoxetine	B4-1	Group1
SdC_HfF_3	Shank3-D	HfF	Female	Mutant	Fluoxetine	B4-1	Group1
SdC_HfF_4	Shank3-D	HfF	Female	Mutant	Fluoxetine	B4-1	Group1
SdC_HfF_5	Shank3-D	HfF	Female	Mutant	Fluoxetine	B4-1	Group1
SdC_HfM_1	Shank3-D	HfM	Male	Mutant	Fluoxetine	B4-1	Group1
SdC_HfM_2	Shank3-D	HfM	Male	Mutant	Fluoxetine	B4-1	Group1
SdC_HfM_3	Shank3-D	HfM	Male	Mutant	Fluoxetine	B4-1	Group1
SdC_HfM_4	Shank3-D	HfM	Male	Mutant	Fluoxetine	B4-1	Group1
SdC_HfM_5	Shank3-D	HfM	Male	Mutant	Fluoxetine	B4-1	Group1
SdC_HLF_1	Shank3-D	HLF	Female	Mutant	Lithium	B4-1	Group1
SdC_HLF_2	Shank3-D	HLF	Female	Mutant	Lithium	B4-1	Group1
SdC_HLF_3	Shank3-D	HLF	Female	Mutant	Lithium	B4-1	Group1
SdC_HLF_4	Shank3-D	HLF	Female	Mutant	Lithium	B4-1	Group1
SdC_HLF_5	Shank3-D	HLF	Female	Mutant	Lithium	B4-1	Group1
SdC_HLM_1	Shank3-D	HLM	Male	Mutant	Lithium	B4-1	Group1
SdC_HLM_2	Shank3-D	HLM	Male	Mutant	Lithium	B4-1	Group1
SdC_HLM_3	Shank3-D	HLM	Male	Mutant	Lithium	B4-1	Group1
SdC_HLM_4	Shank3-D	HLM	Male	Mutant	Lithium	B4-1	Group1
SdC_HvF_1	Shank3-D	HvF	Female	Mutant	Vehicle	B4-1	Group1
SdC_HvF_2	Shank3-D	HvF	Female	Mutant	Vehicle	B4-1	Group1
SdC_HvF_3	Shank3-D	HvF	Female	Mutant	Vehicle	B4-1	Group1
SdC_HvF_4	Shank3-D	HvF	Female	Mutant	Vehicle	B4-1	Group1
SdC_HvF_5	Shank3-D	HvF	Female	Mutant	Vehicle	B4-1	Group1
SdC_HvM_1	Shank3-D	HvM	Male	Mutant	Vehicle	B4-2	Group1
SdC_HvM_2	Shank3-D	HvM	Male	Mutant	Vehicle	B4-2	Group1
SdC_HvM_3	Shank3-D	HvM	Male	Mutant	Vehicle	B4-3	Group1
SdC_WfF_1	Shank3-D	WfF	Female	Wildtype	Fluoxetine	B4-1	Group1
SdC_WfF_2	Shank3-D	WfF	Female	Wildtype	Fluoxetine	B4-1	Group1
SdC_WfF_3	Shank3-D	WfF	Female	Wildtype	Fluoxetine	B4-1	Group1
SdC_WfF_4	Shank3-D	WfF	Female	Wildtype	Fluoxetine	B4-1	Group1
SdC_WfF_5	Shank3-D	WfF	Female	Wildtype	Fluoxetine	B4-1	Group1
SdC_WfM_1	Shank3-D	WfM	Male	Wildtype	Fluoxetine	B4-1	Group1
SdC_WfM_2	Shank3-D	WfM	Male	Wildtype	Fluoxetine	B4-1	Group1
SdC_WfM_3	Shank3-D	WfM	Male	Wildtype	Fluoxetine	B4-1	Group1
SdC_WfM_4	Shank3-D	WfM	Male	Wildtype	Fluoxetine	B4-1	Group1
SdC_WfM_5	Shank3-D	WfM	Male	Wildtype	Fluoxetine	B4-1	Group1
SdC_WLF_1	Shank3-D	WLF	Female	Wildtype	Lithium	B4-1	Group1
SdC_WLF_2	Shank3-D	WLF	Female	Wildtype	Lithium	B4-1	Group1
SdC_WLF_3	Shank3-D	WLF	Female	Wildtype	Lithium	B4-1	Group1
SdC_WLF_4	Shank3-D	WLF	Female	Wildtype	Lithium	B4-1	Group1
SdC_WLF_5	Shank3-D	WLF	Female	Wildtype	Lithium	B4-1	Group1
SdC_WLM_1	Shank3-D	WLM	Male	Wildtype	Lithium	B4-1	Group1
SdC_WLM_2	Shank3-D	WLM	Male	Wildtype	Lithium	B4-1	Group1
SdC_WLM_3	Shank3-D	WLM	Male	Wildtype	Lithium	B4-1	Group1
SdC_WLM_4	Shank3-D	WLM	Male	Wildtype	Lithium	B4-1	Group1
SdC_WLM_5	Shank3-D	WLM	Male	Wildtype	Lithium	B4-1	Group1
SdC_WvF_1	Shank3-D	WvF	Female	Wildtype	Vehicle	B4-1	Group1
SdC_WvF_2	Shank3-D	WvF	Female	Wildtype	Vehicle	B4-1	Group1
SdC_WvF_3	Shank3-D	WvF	Female	Wildtype	Vehicle	B4-1	Group1
SdC_WvF_4	Shank3-D	WvF	Female	Wildtype	Vehicle	B4-1	Group1
SdC_WvF_5	Shank3-D	WvF	Female	Wildtype	Vehicle	B4-1	Group1
SdC_WvM_1	Shank3-D	WvM	Male	Wildtype	Vehicle	B4-3	Group1
SdC_WvM_2	Shank3-D	WvM	Male	Wildtype	Vehicle	B4-2	Group1
SdC_WvM_3	Shank3-D	WvM	Male	Wildtype	Vehicle	B4-3	Group1
SdC_WvM_4	Shank3-D	WvM	Male	Wildtype	Vehicle	B4-3	Group1
SdC_WvM_5	Shank3-D	WvM	Male	Wildtype	Vehicle	B4-3	Group1
T12_HfF_1	Trip12	HfF	Female	Mutant	Fluoxetine	B4-1	Group1
T12_HfF_2	Trip12	HfF	Female	Mutant	Fluoxetine	B4-1	Group1
T12_HfF_3	Trip12	HfF	Female	Mutant	Fluoxetine	B4-1	Group1
T12_HfF_4	Trip12	HfF	Female	Mutant	Fluoxetine	B4-1	Group1
T12_HfF_5	Trip12	HfF	Female	Mutant	Fluoxetine	B4-1	Group1
T12_HfM_1	Trip12	HfM	Male	Mutant	Fluoxetine	B4-1	Group2
T12_HfM_2	Trip12	HfM	Male	Mutant	Fluoxetine	B4-1	Group2
T12_HfM_3	Trip12	HfM	Male	Mutant	Fluoxetine	B4-1	Group2
T12_HfM_4	Trip12	HfM	Male	Mutant	Fluoxetine	B4-1	Group2
T12_HfM_5	Trip12	HfM	Male	Mutant	Fluoxetine	B4-1	Group2
T12_HLF_1	Trip12	HLF	Female	Mutant	Lithium	B4-1	Group1
T12_HLF_2	Trip12	HLF	Female	Mutant	Lithium	B4-1	Group1
T12_HLF_3	Trip12	HLF	Female	Mutant	Lithium	B4-1	Group1
T12_HLF_4	Trip12	HLF	Female	Mutant	Lithium	B4-1	Group1
T12_HLF_5	Trip12	HLF	Female	Mutant	Lithium	B4-1	Group1
T12_HLM_1	Trip12	HLM	Male	Mutant	Lithium	B4-1	Group2
T12_HLM_2	Trip12	HLM	Male	Mutant	Lithium	B4-1	Group2
T12_HLM_3	Trip12	HLM	Male	Mutant	Lithium	B4-1	Group2
T12_HLM_4	Trip12	HLM	Male	Mutant	Lithium	B4-1	Group2
T12_HLM_5	Trip12	HLM	Male	Mutant	Lithium	B4-1	Group2
T12_HvF_1	Trip12	HvF	Female	Mutant	Vehicle	B4-1	Group1
T12_HvF_2	Trip12	HvF	Female	Mutant	Vehicle	B4-1	Group1
T12_HvF_3	Trip12	HvF	Female	Mutant	Vehicle	B4-1	Group1
T12_HvF_4	Trip12	HvF	Female	Mutant	Vehicle	B4-1	Group1
T12_HvF_5	Trip12	HvF	Female	Mutant	Vehicle	B4-1	Group1
T12_HvM_1	Trip12	HvM	Male	Mutant	Vehicle	B4-1	Group2
T12_HvM_2	Trip12	HvM	Male	Mutant	Vehicle	B4-1	Group2
T12_HvM_3	Trip12	HvM	Male	Mutant	Vehicle	B4-1	Group2
T12_HvM_4	Trip12	HvM	Male	Mutant	Vehicle	B4-1	Group2
T12_HvM_5	Trip12	HvM	Male	Mutant	Vehicle	B4-1	Group2
T12_WfF_1	Trip12	WfF	Female	Wildtype	Fluoxetine	B4-1	Group1
T12_WfF_2	Trip12	WfF	Female	Wildtype	Fluoxetine	B4-1	Group1
T12_WfF_3	Trip12	WfF	Female	Wildtype	Fluoxetine	B4-1	Group1
T12_WfF_4	Trip12	WfF	Female	Wildtype	Fluoxetine	B4-1	Group1
T12_WfF_5	Trip12	WfF	Female	Wildtype	Fluoxetine	B4-1	Group1
T12_WfM_1	Trip12	WfM	Male	Wildtype	Fluoxetine	B4-1	Group2
T12_WfM_2	Trip12	WfM	Male	Wildtype	Fluoxetine	B4-1	Group2
T12_WfM_3	Trip12	WfM	Male	Wildtype	Fluoxetine	B4-1	Group2
T12_WfM_4	Trip12	WfM	Male	Wildtype	Fluoxetine	B4-1	Group2
T12_WfM_5	Trip12	WfM	Male	Wildtype	Fluoxetine	B4-1	Group2
T12_WLF_1	Trip12	WLF	Female	Wildtype	Lithium	B4-1	Group1
T12_WLF_2	Trip12	WLF	Female	Wildtype	Lithium	B4-1	Group1
T12_WLF_3	Trip12	WLF	Female	Wildtype	Lithium	B4-1	Group1
T12_WLF_4	Trip12	WLF	Female	Wildtype	Lithium	B4-1	Group1
T12_WLF_5	Trip12	WLF	Female	Wildtype	Lithium	B4-1	Group1
T12_WLM_1	Trip12	WLM	Male	Wildtype	Lithium	B4-1	Group2
T12_WLM_2	Trip12	WLM	Male	Wildtype	Lithium	B4-1	Group2
T12_WLM_3	Trip12	WLM	Male	Wildtype	Lithium	B4-1	Group2
T12_WLM_4	Trip12	WLM	Male	Wildtype	Lithium	B4-1	Group2
T12_WLM_5	Trip12	WLM	Male	Wildtype	Lithium	B4-1	Group2
T12_WvF_1	Trip12	WvF	Female	Wildtype	Vehicle	B4-1	Group1
T12_WvF_2	Trip12	WvF	Female	Wildtype	Vehicle	B4-1	Group1
T12_WvF_3	Trip12	WvF	Female	Wildtype	Vehicle	B4-1	Group1
T12_WvF_4	Trip12	WvF	Female	Wildtype	Vehicle	B4-1	Group1
T12_WvF_5	Trip12	WvF	Female	Wildtype	Vehicle	B4-1	Group1
T12_WvM_1	Trip12	WvM	Male	Wildtype	Vehicle	B4-1	Group2
T12_WvM_2	Trip12	WvM	Male	Wildtype	Vehicle	B4-1	Group2
T12_WvM_3	Trip12	WvM	Male	Wildtype	Vehicle	B4-1	Group2
T12_WvM_4	Trip12	WvM	Male	Wildtype	Vehicle	B4-1	Group2
T12_WvM_5	Trip12	WvM	Male	Wildtype	Vehicle	B4-1	Group2
Tanc_HfF_1	Tanc2	HfF	Female	Mutant	Fluoxetine	B5	Group1
Tanc_HfF_2	Tanc2	HfF	Female	Mutant	Fluoxetine	B5	Group1
Tanc_HfF_3	Tanc2	HfF	Female	Mutant	Fluoxetine	B5	Group1
Tanc_HfF_4	Tanc2	HfF	Female	Mutant	Fluoxetine	B5	Group1
Tanc_HfF_5	Tanc2	HfF	Female	Mutant	Fluoxetine	B5	Group1
Tanc_HfM_1	Tanc2	HfM	Male	Mutant	Fluoxetine	B5	Group1
Tanc_HfM_2	Tanc2	HfM	Male	Mutant	Fluoxetine	B5	Group1
Tanc_HfM_3	Tanc2	HfM	Male	Mutant	Fluoxetine	B5	Group1
Tanc_HfM_4	Tanc2	HfM	Male	Mutant	Fluoxetine	B5	Group1
Tanc_HfM_5	Tanc2	HfM	Male	Mutant	Fluoxetine	B5	Group1
Tanc_HLF_1	Tanc2	HLF	Female	Mutant	Lithium	B5	Group1
Tanc_HLF_2	Tanc2	HLF	Female	Mutant	Lithium	B5	Group1
Tanc_HLF_3	Tanc2	HLF	Female	Mutant	Lithium	B5	Group1
Tanc_HLF_4	Tanc2	HLF	Female	Mutant	Lithium	B5	Group1
Tanc_HLF_5	Tanc2	HLF	Female	Mutant	Lithium	B5	Group1
Tanc_HLM_1	Tanc2	HLM	Male	Mutant	Lithium	B5	Group1
Tanc_HLM_2	Tanc2	HLM	Male	Mutant	Lithium	B5	Group1
Tanc_HLM_3	Tanc2	HLM	Male	Mutant	Lithium	B5	Group1
Tanc_HLM_4	Tanc2	HLM	Male	Mutant	Lithium	B5	Group1
Tanc_HvF_1	Tanc2	HvF	Female	Mutant	Vehicle	B5	Group1
Tanc_HvF_2	Tanc2	HvF	Female	Mutant	Vehicle	B5	Group1
Tanc_HvF_3	Tanc2	HvF	Female	Mutant	Vehicle	B5	Group1
Tanc_HvF_4	Tanc2	HvF	Female	Mutant	Vehicle	B5	Group1
Tanc_HvF_5	Tanc2	HvF	Female	Mutant	Vehicle	B5	Group1
Tanc_HvM_1	Tanc2	HvM	Male	Mutant	Vehicle	B5	Group1
Tanc_HvM_2	Tanc2	HvM	Male	Mutant	Vehicle	B5	Group1
Tanc_HvM_3	Tanc2	HvM	Male	Mutant	Vehicle	B5	Group1
Tanc_HvM_4	Tanc2	HvM	Male	Mutant	Vehicle	B5	Group1
Tanc_HvM_5	Tanc2	HvM	Male	Mutant	Vehicle	B5	Group1
Tanc_WfF_1	Tanc2	WfF	Female	Wildtype	Fluoxetine	B5	Group1
Tanc_WfF_2	Tanc2	WfF	Female	Wildtype	Fluoxetine	B5	Group1
Tanc_WfF_3	Tanc2	WfF	Female	Wildtype	Fluoxetine	B5	Group1
Tanc_WfF_4	Tanc2	WfF	Female	Wildtype	Fluoxetine	B5	Group1
Tanc_WfF_5	Tanc2	WfF	Female	Wildtype	Fluoxetine	B5	Group1
Tanc_WfM_1	Tanc2	WfM	Male	Wildtype	Fluoxetine	B5	Group1
Tanc_WfM_2	Tanc2	WfM	Male	Wildtype	Fluoxetine	B5	Group1
Tanc_WfM_3	Tanc2	WfM	Male	Wildtype	Fluoxetine	B5	Group1
Tanc_WfM_4	Tanc2	WfM	Male	Wildtype	Fluoxetine	B5	Group1
Tanc_WfM_5	Tanc2	WfM	Male	Wildtype	Fluoxetine	B5	Group1
Tanc_WLF_1	Tanc2	WLF	Female	Wildtype	Lithium	B5	Group1
Tanc_WLF_2	Tanc2	WLF	Female	Wildtype	Lithium	B5	Group1
Tanc_WLF_3	Tanc2	WLF	Female	Wildtype	Lithium	B5	Group1
Tanc_WLF_4	Tanc2	WLF	Female	Wildtype	Lithium	B5	Group1
Tanc_WLF_5	Tanc2	WLF	Female	Wildtype	Lithium	B5	Group1
Tanc_WLM_1	Tanc2	WLM	Male	Wildtype	Lithium	B5	Group1
Tanc_WLM_2	Tanc2	WLM	Male	Wildtype	Lithium	B5	Group1
Tanc_WLM_3	Tanc2	WLM	Male	Wildtype	Lithium	B5	Group1
Tanc_WLM_4	Tanc2	WLM	Male	Wildtype	Lithium	B5	Group1
Tanc_WLM_5	Tanc2	WLM	Male	Wildtype	Lithium	B5	Group1
Tanc_WvF_1	Tanc2	WvF	Female	Wildtype	Vehicle	B5	Group1
Tanc_WvF_2	Tanc2	WvF	Female	Wildtype	Vehicle	B5	Group1
Tanc_WvF_3	Tanc2	WvF	Female	Wildtype	Vehicle	B5	Group1
Tanc_WvF_4	Tanc2	WvF	Female	Wildtype	Vehicle	B5	Group1
Tanc_WvF_5	Tanc2	WvF	Female	Wildtype	Vehicle	B5	Group1
Tanc_WvM_1	Tanc2	WvM	Male	Wildtype	Vehicle	B5	Group1
Tanc_WvM_2	Tanc2	WvM	Male	Wildtype	Vehicle	B5	Group1
Tanc_WvM_4	Tanc2	WvM	Male	Wildtype	Vehicle	B5	Group1
Tanc_WvM_5	Tanc2	WvM	Male	Wildtype	Vehicle	B5	Group1
Tbl_HfF_1	Tbl1xr1	HfF	Female	Mutant	Fluoxetine	B2	Group2
Tbl_HfF_2	Tbl1xr1	HfF	Female	Mutant	Fluoxetine	B2	Group2
Tbl_HfF_3	Tbl1xr1	HfF	Female	Mutant	Fluoxetine	B2	Group2
Tbl_HfF_4	Tbl1xr1	HfF	Female	Mutant	Fluoxetine	B2	Group2
Tbl_HfF_5	Tbl1xr1	HfF	Female	Mutant	Fluoxetine	B2	Group2
Tbl_HfM_1	Tbl1xr1	HfM	Male	Mutant	Fluoxetine	B2	Group2
Tbl_HfM_2	Tbl1xr1	HfM	Male	Mutant	Fluoxetine	B2	Group2
Tbl_HfM_3	Tbl1xr1	HfM	Male	Mutant	Fluoxetine	B2	Group2
Tbl_HfM_4	Tbl1xr1	HfM	Male	Mutant	Fluoxetine	B2	Group2
Tbl_HfM_5	Tbl1xr1	HfM	Male	Mutant	Fluoxetine	B2	Group2
Tbl_HLF_1	Tbl1xr1	HLF	Female	Mutant	Lithium	B2	Group2
Tbl_HLF_2	Tbl1xr1	HLF	Female	Mutant	Lithium	B2	Group2
Tbl_HLF_3	Tbl1xr1	HLF	Female	Mutant	Lithium	B2	Group2
Tbl_HLF_4	Tbl1xr1	HLF	Female	Mutant	Lithium	B2	Group2
Tbl_HLF_5	Tbl1xr1	HLF	Female	Mutant	Lithium	B2	Group2
Tbl_HLM_1	Tbl1xr1	HLM	Male	Mutant	Lithium	B2	Group2
Tbl_HLM_2	Tbl1xr1	HLM	Male	Mutant	Lithium	B2	Group2
Tbl_HLM_3	Tbl1xr1	HLM	Male	Mutant	Lithium	B2	Group2
Tbl_HLM_4	Tbl1xr1	HLM	Male	Mutant	Lithium	B2	Group2
Tbl_HLM_5	Tbl1xr1	HLM	Male	Mutant	Lithium	B2	Group2
Tbl_HvF_1	Tbl1xr1	HvF	Female	Mutant	Vehicle	B2	Group2
Tbl_HvF_2	Tbl1xr1	HvF	Female	Mutant	Vehicle	B2	Group2
Tbl_HvF_3	Tbl1xr1	HvF	Female	Mutant	Vehicle	B2	Group2
Tbl_HvF_4	Tbl1xr1	HvF	Female	Mutant	Vehicle	B2	Group2
Tbl_HvF_5	Tbl1xr1	HvF	Female	Mutant	Vehicle	B2	Group2
Tbl_HvM_1	Tbl1xr1	HvM	Male	Mutant	Vehicle	B2	Group2
Tbl_HvM_2	Tbl1xr1	HvM	Male	Mutant	Vehicle	B2	Group2
Tbl_HvM_3	Tbl1xr1	HvM	Male	Mutant	Vehicle	B2	Group2
Tbl_HvM_4	Tbl1xr1	HvM	Male	Mutant	Vehicle	B2	Group2
Tbl_HvM_5	Tbl1xr1	HvM	Male	Mutant	Vehicle	B2	Group2
Tbl_WfF_1	Tbl1xr1	WfF	Female	Wildtype	Fluoxetine	B2	Group2
Tbl_WfF_2	Tbl1xr1	WfF	Female	Wildtype	Fluoxetine	B2	Group2
Tbl_WfF_3	Tbl1xr1	WfF	Female	Wildtype	Fluoxetine	B2	Group2
Tbl_WfF_4	Tbl1xr1	WfF	Female	Wildtype	Fluoxetine	B2	Group2
Tbl_WfF_5	Tbl1xr1	WfF	Female	Wildtype	Fluoxetine	B2	Group2
Tbl_WfM_1	Tbl1xr1	WfM	Male	Wildtype	Fluoxetine	B2	Group2
Tbl_WfM_2	Tbl1xr1	WfM	Male	Wildtype	Fluoxetine	B2	Group2
Tbl_WfM_3	Tbl1xr1	WfM	Male	Wildtype	Fluoxetine	B2	Group2
Tbl_WfM_4	Tbl1xr1	WfM	Male	Wildtype	Fluoxetine	B2	Group2
Tbl_WfM_5	Tbl1xr1	WfM	Male	Wildtype	Fluoxetine	B2	Group2
Tbl_WLF_1	Tbl1xr1	WLF	Female	Wildtype	Lithium	B2	Group2
Tbl_WLF_2	Tbl1xr1	WLF	Female	Wildtype	Lithium	B2	Group2
Tbl_WLF_3	Tbl1xr1	WLF	Female	Wildtype	Lithium	B2	Group2
Tbl_WLF_4	Tbl1xr1	WLF	Female	Wildtype	Lithium	B2	Group2
Tbl_WLM_1	Tbl1xr1	WLM	Male	Wildtype	Lithium	B2	Group2
Tbl_WLM_2	Tbl1xr1	WLM	Male	Wildtype	Lithium	B2	Group2
Tbl_WLM_4	Tbl1xr1	WLM	Male	Wildtype	Lithium	B2	Group2
Tbl_WLM_5	Tbl1xr1	WLM	Male	Wildtype	Lithium	B2	Group2
Tbl_WvF_1	Tbl1xr1	WvF	Female	Wildtype	Vehicle	B2	Group2
Tbl_WvF_2	Tbl1xr1	WvF	Female	Wildtype	Vehicle	B2	Group2
Tbl_WvF_3	Tbl1xr1	WvF	Female	Wildtype	Vehicle	B2	Group2
Tbl_WvF_4	Tbl1xr1	WvF	Female	Wildtype	Vehicle	B2	Group2
Tbl_WvF_5	Tbl1xr1	WvF	Female	Wildtype	Vehicle	B2	Group2
Tbl_WvM_1	Tbl1xr1	WvM	Male	Wildtype	Vehicle	B2	Group2
Tbl_WvM_2	Tbl1xr1	WvM	Male	Wildtype	Vehicle	B2	Group2
Tbl_WvM_3	Tbl1xr1	WvM	Male	Wildtype	Vehicle	B2	Group2
Tbl_WvM_4	Tbl1xr1	WvM	Male	Wildtype	Vehicle	B2	Group2
Tbl_WvM_5	Tbl1xr1	WvM	Male	Wildtype	Vehicle	B2	Group2
TBR1_HfF_1	Tbr1	HfF	Female	Mutant	Fluoxetine	B5	Group2
TBR1_HfF_2	Tbr1	HfF	Female	Mutant	Fluoxetine	B5	Group2
TBR1_HfF_3	Tbr1	HfF	Female	Mutant	Fluoxetine	B5	Group2
TBR1_HfF_4	Tbr1	HfF	Female	Mutant	Fluoxetine	B5	Group2
TBR1_HfF_5	Tbr1	HfF	Female	Mutant	Fluoxetine	B5	Group2
TBR1_HfM_1	Tbr1	HfM	Male	Mutant	Fluoxetine	B5	Group2
TBR1_HfM_2	Tbr1	HfM	Male	Mutant	Fluoxetine	B5	Group2
TBR1_HfM_3	Tbr1	HfM	Male	Mutant	Fluoxetine	B5	Group2
TBR1_HfM_4	Tbr1	HfM	Male	Mutant	Fluoxetine	B5	Group2
TBR1_HfM_5	Tbr1	HfM	Male	Mutant	Fluoxetine	B5	Group2
TBR1_HLF_1	Tbr1	HLF	Female	Mutant	Lithium	B5	Group2
TBR1_HLF_2	Tbr1	HLF	Female	Mutant	Lithium	B5	Group2
TBR1_HLF_3	Tbr1	HLF	Female	Mutant	Lithium	B5	Group2
TBR1_HLF_4	Tbr1	HLF	Female	Mutant	Lithium	B5	Group2
TBR1_HLF_5	Tbr1	HLF	Female	Mutant	Lithium	B5	Group2
TBR1_HLM_1	Tbr1	HLM	Male	Mutant	Lithium	B5	Group2
TBR1_HLM_2	Tbr1	HLM	Male	Mutant	Lithium	B5	Group2
TBR1_HLM_3	Tbr1	HLM	Male	Mutant	Lithium	B5	Group2
TBR1_HLM_4	Tbr1	HLM	Male	Mutant	Lithium	B5	Group2
TBR1_HLM_5	Tbr1	HLM	Male	Mutant	Lithium	B5	Group2
TBR1_HvF_1	Tbr1	HvF	Female	Mutant	Vehicle	B5	Group2
TBR1_HvF_2	Tbr1	HvF	Female	Mutant	Vehicle	B5	Group2
TBR1_HvF_3	Tbr1	HvF	Female	Mutant	Vehicle	B5	Group2
TBR1_HvF_4	Tbr1	HvF	Female	Mutant	Vehicle	B5	Group2
TBR1_HvF_5	Tbr1	HvF	Female	Mutant	Vehicle	B5	Group2
TBR1_HvM_1	Tbr1	HvM	Male	Mutant	Vehicle	B5	Group2
TBR1_HvM_2	Tbr1	HvM	Male	Mutant	Vehicle	B5	Group2
TBR1_HvM_3	Tbr1	HvM	Male	Mutant	Vehicle	B5	Group2
TBR1_HvM_4	Tbr1	HvM	Male	Mutant	Vehicle	B5	Group2
TBR1_HvM_5	Tbr1	HvM	Male	Mutant	Vehicle	B5	Group2
